run_id	script	description	log_file	env
00_seq4096_ve_expand_late_qat	train_gpt_frontier.py	Run this first: 4096 context + VE expansion + explicit late-QAT	experiment_logs_r11/2026-03-29_15-37-59_phase1_squeeze_winner/log_00_seq4096_ve_expand_late_qat.txt	SUBMISSION_SIZE_CAP_BYTES=16000000 EVAL_STRIDE=64 QUANT_COMPRESSOR=auto INT6_PACK=0 MIXED_QUANT_KEEP_FLOAT_MAX_NUMEL=16384 MIXED_QUANT_INT6_CATS=mlp,attn MLP_MULT=3.0 BIGRAM_VOCAB_SIZE=2048 TRAIN_SEQ_LEN=4096 EVAL_SEQ_LEN=4096 TRAIN_BATCH_TOKENS=393216 VE_LAYERS=8,9,10 LATE_QAT_THRESHOLD=0 LATE_QAT_START_FRAC=0.90
01_ve_expand_8_9_10	train_gpt_frontier.py	Near-zero parameter VE expansion over the last three layers	experiment_logs_r11/2026-03-29_15-37-59_phase1_squeeze_winner/log_01_ve_expand_8_9_10.txt	SUBMISSION_SIZE_CAP_BYTES=16000000 EVAL_STRIDE=64 QUANT_COMPRESSOR=auto INT6_PACK=0 MIXED_QUANT_KEEP_FLOAT_MAX_NUMEL=16384 MIXED_QUANT_INT6_CATS=mlp,attn MLP_MULT=3.0 BIGRAM_VOCAB_SIZE=2048 VE_LAYERS=8,9,10
02_late_qat_last10pct	train_gpt_frontier.py	Force late-QAT activation in final ~10% wallclock window	experiment_logs_r11/2026-03-29_15-37-59_phase1_squeeze_winner/log_02_late_qat_last10pct.txt	SUBMISSION_SIZE_CAP_BYTES=16000000 EVAL_STRIDE=64 QUANT_COMPRESSOR=auto INT6_PACK=0 MIXED_QUANT_KEEP_FLOAT_MAX_NUMEL=16384 MIXED_QUANT_INT6_CATS=mlp,attn MLP_MULT=3.0 BIGRAM_VOCAB_SIZE=2048 LATE_QAT_THRESHOLD=0 LATE_QAT_START_FRAC=0.90
